KEY,English,French,Spanish,Portuguese,Italian,German,Russian,Chinese,Japanese,Korean
Ahopiro,try not to touch this sponge unless you want to get sick.,"cette éponge de mer relachera des toxines si tu la touches, garde donc tes distances.","esta esponja marina liberará toxinas si la tocas, así que mantén la distancia.","esta esponja marinha irá libertar toxinas se lhe tocar, por isso mantenha a distância.","questa spugna marina rilascia tossine se la si tocca, quindi tenetevi a distanza.",,,,,
Anahera,a peaceful ray. touch it to recover some light.,une raie innofensive. la toucher redonne de la lumière.,una raya inofensiva. tóquela para recuperar algo de luz.,uma arraia inofensivo. toque para recuperar um pouco de luz.,una razza innocua. toccare per recuperare un po 'di luce.,,,,,
Areongero,nearby movements push small organisms towards its sticky tongue-like arms.,utilise le mouvement environnant pour attraper les petits organismes sur ses branches collantes.,utiliza el movimiento circundante para atrapar pequeños organismos en sus ramas pegajosas.,usa o movimento em torno de capturar pequenos organismos em seus ramos pegajosas.,utilizza il movimento circostante per la cattura di piccoli organismi sui suoi rami appiccicosi.,,,,,
Hamama'ura,"this sea anemone is called ""sparkling yawn"" by the ancients because of its wide open mouth.","à cause de sa bouche grande ouverte, les anciens ont nommé cette anémone ""baillement étincelant"".","debido a su boca muy abierta, los antiguos llamaron a esta anémona ""bostezo brillante"".","por causa da sua boca aberta, os antigos chamavam a esta anémona ""bocejo cintilante"".","a causa della sua bocca spalancata, gli antichi chiamavano questo anemone ""sbadiglio scintillante"".",,,,,
Harorekino,a rare giant mushroom. it is highly poisonous so keep your distance.,"un champignon géant, rare, et toxique. le toucher t'empoisonnera.",un hongo gigante e raro. es muy venenoso. mantenga su distancia.,"um cogumelo gigante, raro, e tóxico. evitar tocar.","un fungo gigante, raro, e tossico. è meglio evitare il contatto.",,,,,
Heru,small and harmless. can be used to brush your hair if you have any.,petit et inoffensif. peut être utilisé comme peigne.,pequeño e inofensivo. se puede utilizar como un peine.,pequeno e inofensivo. pode ser usado como um pente.,"è un pesce piccolo e innocuo, può essere usato come un pettine.",klein und harmlos. kann als kamm verwendet werden.,small and harmless. can be used to brush your hair if you have any.,small and harmless. can be used to brush your hair if you have any.,small and harmless. can be used to brush your hair if you have any.,small and harmless. can be used to brush your hair if you have any.
Hikukiore,humans call it grenadier or rat tail fish. it's fast and a little bit dangerous.,les humains l'appellent poisson à queue de rat. rapide et un peu dangereux.,los humanos lo llaman granaderos o colas de rata. es rápido y un poco peligroso.,os humanos chamam de macrouridae. rápido e um pouco perigoso.,"gli umani lo chiamano pesce topo, è veloce e anche un po' pericoloso.",,,,,
Honumara,feeds on deep sea lifeforms. only needs to take its breath every month.,cette tortue n'a besoin de reprendre sa respiration qu'une fois par mois.,se alimenta de la vegetación profunda. sólo necesita respirar cada mes.,alimenta-se de vegetação profunda. só você precisa respirar a cada mês.,"si nutre di vegetazione profonda, ha bisogno di respirare una volta al mese.",,,,,
Humenganui,rare giant anemone. hide between its arms to protect your light from predators.,une anémone géante assez rare. réfugie-toi dans ses bras pour protéger ta lumière des prédateurs.,rara anémona gigante. ocultar entre sus brazos para proteger su luz de los depredadores.,rara anêmona gigante. ocultar entre seus braços para proteger sua luz dos predadores.,una rara anemone gigante. nasconditi tra le sue braccia per proteggere la vostra luce dai predatori.,,,,,
Iatukuwetu,a pretty common star shaped sea anemone.,une anémone commune en forme d'étoile.,una anémona muy común en forma de estrella.,uma anêmona muito comum em forma de estrela.,un anemone molto comune a forma di stella.,,,,,
Ikakina,it is cute but petting it usually sting a little.,mignon mais piquant. éviter tout contact pour minimiser les bobos.,"lindo, pero picante. evitar el contacto para minimizar las lesiones.","bonitinha, mas picante. evitar o contato para minimizar o prejuízo.","è carino ma pungente, se non vuoi guai è meglio non avvicinarsi.",,,,,
Karapoga,gluttonous cousin of the shark. fast and dangerous!,cousin du requin... en plus glouton. rapide et dangereux!,primo glotón del tiburón. rápido y peligroso.,primo glutão do tubarão. rápido e perigoso!,cugino goloso dello squalo. veloce e pericoloso!,,,,,
Kinateko,a giant sea urchin with a very smooth and unusual shape.,un oursin géant à l’apparence lisse et très inhabituelle.,un erizo de mar gigante con una apariencia lisa y muy inusual.,um ouriço-do-mar gigante com uma aparência lisa e muito incomum.,un gigantesco riccio di mare dall'aspetto liscio e molto insolito.,,,,,
Kotiri,called shooting star by the ancients. hard to catch but nutritive.,... ou étoile filante dans la langue des anciens. rapide et nourrissant.,"llamada estrella fugaz por los antiguos. difícil de atrapar, pero nutritiva.","chamada estrela cadente pelos antigos. difícil de pegar, mas nutritivo.","chiamato stella cadente dagli antichi. difficile da catturare, ma nutritivo.",,,,,
Koupaihana,don’t touch its fins if you don’t want to get sick.,ne touche pas ses nageoires si tu ne veux pas tomber malade.,no toques sus aletas si no quieres enfermar.,não toque nas suas barbatanas se não quiser ficar doente.,non toccate le sue pinne se non volete ammalarvi.,,,,,
Kraga,a fast and dangerous predator. eats whatever is smaller.,ne te fais pas piéger par cette loupiotte qui gigote dans l'obscurité.,no lo hace trampa de esta retorciéndose luz en la oscuridad.,você não armadilha esta luz por contorcendo no escuro.,"non farti ingannare da questa luce nel buio, sennó finirai nella sua trappola.",,,,,
Kutukuura,a dangerous giant worm. any small skeleton is a sign of its presence.,de petits squelettes signalent la présence de ce ver sournois. méfiance!,pequeños esqueletos indican la presencia de este gusano astuto.,pequenos esqueletos indicam a presença deste verme sorrateira.,piccoli scheletri indicano la presenza di questo subdolo verme.,,,,,
Mafatumamahu,"called ""shy heart"" by the ancients, this anemone will quickly contract to protect itself if you come close.","appelée ""coeur timide"" par les anciens, cette anémone se contractera à ton approche.","llamada ""corazón tímido"" por los antiguos, esta anémona se contraerá cuando te acerques.","chamada de ""coração tímido"" pelos antigos, essa anêmona se contrai quando você se aproxima.","chiamato ""cuore timido"" dagli antichi, questo anemone si contrae quando ti avvicini.",,,,,
Mahamakao,a filter feeding sponge. watch out for its spikes as it inflates.,une éponge qui se nourrit en filtrant l’eau. attention à ses pics quand elle gonfle.,una esponja que se alimenta filtrando el agua. cuidado con sus picos cuando se hincha.,uma esponja que se alimenta filtrando a água. cuidado com seus picos quando incha.,una spugna che si nutre filtrando l'acqua. fai attenzione ai suoi picchi quando si gonfia.,,,,,
